"","SUM_RAIN_FALL(mm)","SUM_SNOW_FALL(cm)","TEMP(deg C)_MEAN","RH(%)_MEAN","WD_SPD(m/s)_MEAN","VIS(10m)_MEAN","DP_TEMP(deg C)_MEAN","SOL_RAD(MJ/m2)_MEAN","SUM_RBC","SEASONS_Spring","SEASONS_Summer","SEASONS_Autumn","HOLIDAY_Holiday","DAY_TYPE_WKEND","HOLIDAY_Holiday_x_SEASONS_Spring","HOLIDAY_Holiday_x_SEASONS_Summer","HOLIDAY_Holiday_x_SEASONS_Autumn","SEASONS_Spring_x_`TEMP(deg C)_MEAN`","SEASONS_Summer_x_`TEMP(deg C)_MEAN`","SEASONS_Autumn_x_`TEMP(deg C)_MEAN`","`TEMP(deg C)_MEAN`_x_`SUM_RAIN_FALL(mm)`"
"1",-0.321659674375217,-0.234259772168185,-0.992000297902106,0.237812179826935,-0.0217616652020496,0.0985586628238823,-0.754736800663761,-0.95471224056559,8523,0,0,0,0,1,0,0,0,0,0,0,0.31908649280331
"2",-0.321659674375217,-0.234259772168185,-1.17950119938769,-0.823995135508469,-1.05496768262108,0.89733862258021,-1.1828427942383,-0.956022109655667,7233,0,0,0,0,1,0,0,0,0,0,0,0.379397971720224
"3",-0.321659674375217,-0.234259772168185,-1.38967495460378,-0.527354449500928,-1.21130806683581,-0.866174940382943,-1.26755863284595,-1.46818092387572,7198,0,0,0,0,0,0,0,0,0,0,0,0.447002393385248
"4",1.34604692717135,-0.234259772168185,-0.807738375520877,1.62398360976872,0.161768351050016,-2.17920631379452,-0.256142055881327,-1.69216853827887,2014,0,0,0,1,1,0,0,0,0,0,0,-1.08725375832825
"5",-0.279967009336553,-0.234259772168185,-0.993079957603559,1.2885301237228,-1.2860795549385,-2.47636919077558,-0.486038854545601,-1.48913882931695,4027,0,0,0,0,1,0,0,0,0,0,0,0.278029625762339
"6",-0.321659674375217,-0.234259772168185,-1.21728928893853,-1.26756999308984,-0.443200961780867,0.966742075319539,-1.3871955041621,-0.97959975327705,4290,0,0,0,1,0,0,0,0,0,0,0,0.391552876300408
"7",-0.321659674375217,-0.234259772168185,-1.23528361729607,-0.976473992802065,0.0666046389193154,0.592578073651057,-1.34677764223097,-1.08176954230305,6446,0,0,0,0,0,0,0,0,0,0,0,0.397340926100496
"8",-0.321659674375217,-0.234259772168185,-1.34432924714278,-0.846173878387538,-0.402416513724852,0.284488207800828,-1.34968772829001,-0.894458262422054,5180,0,0,0,0,1,0,0,0,0,0,0,0.432416507889027
"9",-0.321659674375217,-0.234259772168185,-1.10464479342032,0.490095380076339,-1.08215731465843,-1.54706293429301,-0.766053802004477,-1.18786893859927,4225,0,0,0,0,1,0,0,0,0,0,0,0.355319684551859
"10",-0.321659674375217,-0.234259772168185,-0.823213497908363,0.0714716082339213,-1.57836809933994,-2.03741155979695,-0.620226156156956,-1.4694907929658,6705,0,0,0,0,0,0,0,0,0,0,0,0.264794585678488
"11",-0.321659674375217,-0.234259772168185,-1.01539292476691,-1.16499330727415,-0.11692537733275,0.125790767896263,-1.18607622319279,-0.924585251493822,7472,0,0,0,0,0,0,0,0,0,0,0,0.326610957543424
"12",-0.321659674375217,0.243974147492631,-2.00724030383462,-1.33687856458693,-0.314050209603487,0.761263464318846,-2.04164152455098,-0.801457557026596,2693,0,0,0,0,1,0,0,0,0,0,0,0.645648262524257
"13",-0.321659674375217,6.80882159010929,-1.29538467401026,-0.0810072490596749,-0.0217616652020496,0.251451139891701,-1.1168808435667,-1.27301042945427,3830,0,0,0,0,0,0,0,0,0,0,0,0.416673012432788
"14",-0.321659674375217,-0.234259772168185,-1.33497219639686,-0.643792849616038,-0.137317601360757,0.500552339268528,-1.29019263552739,-0.82896480791821,5954,0,0,0,0,0,0,0,0,0,0,0,0.429406721992981
"15",-0.321659674375217,-0.234259772168185,-1.91834832174837,-1.359057307466,2.18739593783207,1.13158594646301,-1.9818230888929,0.0905632933157541,3932,0,0,0,0,0,0,0,0,0,0,0,0.617055296511824
"16",-0.321659674375217,-0.234259772168185,-1.97089176055239,-1.51985319333924,2.37092595408414,1.0922317131139,-2.06298215565061,0.0669856496943706,3988,0,0,0,0,0,0,0,0,0,0,0,0.63395640192808
"17",-0.321659674375217,-0.234259772168185,-1.11112275162903,-1.05964427859857,-1.02777805058374,-0.494571951730672,-1.22714077091482,-0.924585251493822,6268,0,0,0,0,0,0,0,0,0,0,0,0.357403382479891
"18",-0.321659674375217,-0.234259772168185,-1.0960075158087,-0.574484278118949,2.18739593783207,-0.673074558960605,-1.16053213445232,-0.551272560821913,4425,0,0,0,0,1,0,0,0,0,0,0,0.352541420647817
"19",-0.321659674375217,-0.234259772168185,-1.62360122325183,-1.24261890735089,1.71157737717857,1.0486944918383,-1.69986808406133,0.0159007551813726,4813,0,0,0,0,0,0,0,0,0,0,0,0.522247040786388
