"","SUM_RAIN_FALL(mm)","SUM_SNOW_FALL(cm)","TEMP(deg C)_MEAN","RH(%)_MEAN","WD_SPD(m/s)_MEAN","VIS(10m)_MEAN","DP_TEMP(deg C)_MEAN","SOL_RAD(MJ/m2)_MEAN","SUM_RBC","SEASONS_Spring","SEASONS_Summer","SEASONS_Autumn","HOLIDAY_Holiday","DAY_TYPE_WKEND"
"1",-0.32054864439114,-0.171434131400748,-1.34672074013524,-0.893876394999995,-0.294967398060259,0.926962429832918,-1.40667545517849,-0.978078985278203,9539,0,0,0,0,0
"2",0.0308618332454936,3.97198545686712,-1.02603810455967,0.739527489310283,0.488061180086162,-0.731021923380491,-0.652875267985196,-1.49208883305621,3453,0,0,0,0,1
"3",-0.32054864439114,-0.171434131400748,-1.68206315333712,-1.33935018163007,3.17972191746448,1.16816931534949,-1.75831680400059,-0.840657329316987,5848,0,0,0,0,0
"4",-0.32054864439114,6.91700061037443,-1.44164280026561,-0.596893870579944,0.767714243709884,0.50722906399802,-1.3650728167263,-0.893511812378993,4334,0,0,0,0,0
"5",-0.30340666987228,5.98632482593273,-1.50834478846533,0.451111768479273,-1.00808271030075,-0.0065666409293263,-1.12602273546132,-1.32295448725779,4568,0,0,0,0,0
"6",-0.32054864439114,-0.171434131400748,-1.74619968045224,-1.90475921850671,0.404165260999045,1.17885252688794,-2.04260150009057,-0.893511812378993,5351,0,0,0,0,0
"7",-0.32054864439114,-0.171434131400748,-1.2437358023104,-1.34220578282642,-0.43479392987212,0.975203806936232,-1.43209928978816,-0.95561582997685,4290,0,0,0,1,0
"8",-0.32054864439114,-0.171434131400748,-1.52483703829493,-1.21655933018717,0.69080965121336,1.07602661583036,-1.59157607052156,-0.900118622761743,6512,0,0,0,0,0
"9",-0.32054864439114,-0.171434131400748,-1.23713890237856,-1.08520167515522,-1.51145822482345,0.0879130111138442,-1.32214945959308,-1.27142136627234,4714,0,0,0,0,1
"10",-0.243409759056269,0.402270119282495,-1.00588091032349,-0.656861495703223,0.0615902580599865,-0.518860019234078,-1.01475218658522,-1.45112660868316,5711,0,0,0,0,0
"11",-0.251980746315699,1.12896217014794,-1.74949813041816,-0.322756155730666,2.04712700978841,0.906681020427891,-1.53874732328069,-0.861799122541789,4161,0,0,0,0,0
"12",-0.32054864439114,-0.171434131400748,-1.12902304238451,0.468245375657353,-1.09197862938787,-1.48251908503836,-0.797824143227358,-1.16571240014833,4225,0,0,0,0,1
"13",-0.32054864439114,2.340115588257,-2.36960672401115,-1.92760402807748,2.82316426134424,1.15798687935191,-2.53225795107947,-0.745519259805375,3154,0,0,0,0,0
"14",-0.32054864439114,1.6389215040886,-2.36264332963866,-1.74770115270764,1.94225711092951,1.17885252688794,-2.45466572856942,-0.804980553250132,3113,0,0,0,0,0
"15",-0.32054864439114,-0.171434131400748,-1.88070314017365,-1.55352027135607,1.69056935366817,1.07786279281353,-2.00925335339476,-0.752126070188126,4088,0,0,0,0,0
